Qty	Value	Device	Package	Parts	DIGIKEY#	PARTNO	Description
1	0.01uF	CAP-0402	0402-CAP	C2	587-2708-1-ND	EMK105B7103KV-F	
6	0.1uF	CAPACITOR-0402	0402-CAP	C4, C5, C6, C7, C8, C9	445-7348-1-ND	C1005X7R1E104K050BB	
1	000	RESISTOR-0402	0402-RES	R22	P0.0JCT-ND	ERJ-2GE0R00X	
1	1.5k	RESISTOR-0402	0402-RES	R3	311-1.50KLRCT-ND	RC0402FR-071K5L	
7	100R	RESISTOR-0402	0402-RES	R1, R2, R6, R7, R11, R12, R13	311-100LRCT-ND	RC0402FR-07100RL	
3	10k	RESISTOR-0402	0402-RES	R9, R10, R18	311-10.0KLRCT-ND	RC0402FR-0710KL	
2	18p	C0402	402	C10, C11	CL05C180JB5NNNC	CL05C180JB5NNNC	
2	1uF	CAPACITOR-0603	0603-CAP	C1, C3	311-1372-1-ND	CC0603ZRY5V7BB105	
5	390R	RESISTOR-0402	0402-RES	R5, R16, R17, R19, R20	541-390JCT-ND	CRCW0402390RJNED	
1	4.7k	RESISTOR-0402	0402-RES	R8	P4.70KLCT-ND	ERJ-2RKF4701X	
1	8MHz	CRYSTAL-NX3225GD	NX3225GD	Z1	644-1178-1-ND	NX3225GD-8MHZ-STD-CRA-3	SMD CRYSTAL
1	ARM_MINI_JTAGSMT-S	ARM_MINI_JTAGSMT-S	200215-00010T1LF	J1	609-4054-ND	20021521-00010T1LF	CONNECTOR
1	DF13-6P-1.25V	DF13-6P-1.25V	DF13C-6P-1.25V	U$1	H3423-ND	DF13C-6P-1.25V(20)	DF13-6P
1	GREEN	LED-0603	0603-LED	LED1	754-1121-1-ND	APT1608SGC	
1	MIC5255-3.3YM5	V_REG_LDOSMD	SOT23-5	IC2	576-1290-1-ND	MIC5255-3.3YM5 TR	Voltage Regulator LDO
1	MOLEX-47346-0001	MOLEX-47346-0001	MOLEX-47346-0001	USB1	WM17141CT-ND	47346-0001	MICRO USB B, BOTTOM MOUNT
1	NDS332P	NDS332P	SOT23B-3	Q1	NDS332PCT-ND	NDS332P	MOSFET P-CH 20V 1A SSOT3
1	NUF2042XV6	NUF2042XV6	SOT563-6	U20	NUF2042XV6T1GOSCT-ND	NUF2042XV6T1G	
1	RED	LED-0603	0603-LED	LED2	754-1122-1-ND	APT1608SRCPRV	red smd led
1	SH06	SH06	SH06B	J3	455-1806-1-ND	SM06B-SRSS-TB	
1	SM06B-SURS-TF	SM06B-SURS-TF	SM02B-SURS-TF	J2	SM06B-SURS-TF(LF)(SN)-ND	SM06B-SURS-TF(LF)(SN)	
1	STM32F103CBT6	STM32F103CBT6	LQFP48	IC1	497-6288-ND	STM32F103CBT6	STM32F103 Medium Density 48pins
1	SWITCH-MOMENTARY-2-FSMSM	SWITCH-MOMENTARY-2-FSMSM	FSMSM	S2	450-1140-ND	FSMSM	SWITCH TACTILE SPST-NO 0.05A 24V
2	YELLOW	LED-0603	0603-LED	LED3, LED4	754-1125-1-ND	APT1608YC	yellow smd led
